Goesser_25_65_; 235; 258; 263; 314; 265; 256; 258; 246; 280; 290; 303; 226; 
Goesser_27_56_; 414; 460; 435; 464; 404; 365; 425; 417; 444; 503; 491; 398; 
Goesser_35_63_; 626; 644; 594; 588; 542; 610; 652; 621; 589; 611; 653; 651; 
Goesser_35_77_; 344; 397; 375; 395; 407; 411; 415; 410; 431; 397; 423; 424; 
Goesser_35_88_; 304; 327; 288; 311; 291; 326; 303; 301; 290; 318; 342; 293; 
Goesser_35_115_; 192; 196; 186; 195; 180; 214; 181; 189; 195; 196; 234; 216; 
Goesser_35_138_; 150; 151; 127; 130; 122; 138; 127; 126; 144; 123; 167; 137; 
Goesser_45_109_; 296; 337; 350; 298; 288; 310; 326; 319; 313; 333; 333; 306; 
Goesser_52_141_; 232; 254; 246; 237; 221; 234; 246; 236; 252; 245; 250; 249; 
Goesser_55_126_; 330; 325; 370; 345; 374; 268; 326; 337; 340; 309; 353; 316; 
Goesser_62_136_; 311; 312; 315; 345; 350; 345; 330; 329; 301; 326; 334; 305; 
