Goesser_25_65_; 14; Median; 26; 0.275561; -0.553733; 1.84692; 7.68399; -160.871; 60.0762
Goesser_25_65_; 14; Mean; 26.75; 0.259382; -0.524409; 1.82566; 15.7143; -121.478; 57.3266
Goesser_25_65_; 14; Range; 14; 0.206298; 0.271323; 0.571318; 168.998; 341.401; 191.91
Goesser_25_65_; 14; Stdev; 3.75333; 0.0500063; 0.0736155; 0.130938; 35.7493; 100.819; 35.9571
Goesser_25_65_; 15; Median; 27; 0.253811; -0.601935; 1.95431; 8.70409; -158.311; 56.2552
Goesser_25_65_; 15; Mean; 26.6; 0.185775; -0.594632; 2.01024; 71.6397; -80.1168; -3.82105
Goesser_25_65_; 15; Range; 15; 0.420433; 0.296543; 0.4568; 178.637; 327.646; 238.17
Goesser_25_65_; 15; Stdev; 3.94208; 0.115966; 0.0656449; 0.132552; 80.211; 98.5108; 83.1494
Goesser_25_65_; 16; Median; 24; 0.222361; -0.639979; 1.97261; 9.0245; -162.495; 53.3535
Goesser_25_65_; 16; Mean; 25.65; 0.186671; -0.553769; 1.80118; 16.5867; -96.6; 48.6374
Goesser_25_65_; 16; Range; 16; 0.273493; 0.693188; 2.18842; 179.456; 351.926; 186.748
Goesser_25_65_; 16; Stdev; 4.77781; 0.0734789; 0.16796; 0.492087; 37.7409; 119.5; 41.3618
Goesser_25_65_; 17; Median; 21; 0.248017; -0.665571; 2.04294; 9.43852; -155.061; 56.2512
Goesser_25_65_; 17; Mean; 20.1; 0.217097; -0.591307; 1.88911; 27.6743; -69.8555; 39.5025
Goesser_25_65_; 17; Range; 12; 0.300601; 0.784124; 2.36114; 179.672; 353.03; 270.206
Goesser_25_65_; 17; Stdev; 2.99833; 0.0746787; 0.188729; 0.491406; 52.2121; 130.702; 66.4295
Goesser_25_65_; 18; Median; 22; 0.16912; -0.686607; 2.12413; 11.2796; -0; 48.6755
Goesser_25_65_; 18; Mean; 22.2; 0.141121; -0.539774; 1.62257; 60.4555; -60.5093; 15.5774
Goesser_25_65_; 18; Range; 11; 0.373473; 0.895336; 2.29785; 178.606; 268.661; 281.868
Goesser_25_65_; 18; Stdev; 3.4; 0.118955; 0.331967; 0.895532; 74.2782; 87.4391; 79.8392
Goesser_25_65_; 19; Median; 21; 0; 0; 0.702172; 3.66115; -0; 0
Goesser_25_65_; 19; Mean; 22; 0.0602527; -0.333887; 1.08534; 26.4149; -49.2223; 12.6331
Goesser_25_65_; 19; Range; 15; 0.55107; 0.889354; 2.77697; 178.043; 297.161; 211.033
Goesser_25_65_; 19; Stdev; 3.6606; 0.133752; 0.379446; 1.14622; 56.4293; 89.1262; 45.1485
Goesser_25_65_; 20; Median; 23; 0.0807424; 0; 1.78293; 1.61327; -0; 0
Goesser_25_65_; 20; Mean; 22.65; 0.114964; -0.38508; 1.12041; 13.3266; -40.0989; 21.9259
Goesser_25_65_; 20; Range; 8; 0.308059; 0.987527; 2.67982; 179.009; 348.229; 257.83
Goesser_25_65_; 20; Stdev; 2.53525; 0.125717; 0.400455; 1.1362; 38.4248; 102.938; 52.2242
Goesser_25_65_; 21; Median; 19; 0; 0; 0; 0; -0; 0
Goesser_25_65_; 21; Mean; 19.4; 0.0689529; -0.24885; 0.77441; 28.3383; -29.2612; 0.34926
Goesser_25_65_; 21; Range; 11; 0.404088; 0.923085; 2.6187; 179.13; 212.691; 147.142
Goesser_25_65_; 21; Stdev; 2.83549; 0.121227; 0.36222; 1.06596; 60.1265; 67.6568; 33.0253
Goesser_25_65_; 22; Median; 18; 0; 0; 0; 0; -0; 0
Goesser_25_65_; 22; Mean; 18.5; 0.0157214; -0.0482704; 0.119439; 0.452753; -8.17218; 2.31394
Goesser_25_65_; 22; Range; 10; 0.314428; 0.965407; 2.38878; 9.05507; 163.444; 46.2789
Goesser_25_65_; 22; Stdev; 2.57876; 0.068528; 0.210406; 0.520622; 1.97351; 35.6217; 10.0862
Goesser_25_65_; 23; Median; 18; 0; 0; 0; 0; -0; 0
Goesser_25_65_; 23; Mean; 18.15; 0.00547507; -0.0354103; 0.0608136; 5.63983; 3.59655; 6.48135
