Linear Detection Measurement - Goesser_62_136_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
3; 13; 77; 0.112267; -0.0429846; 1.5628; 20.1176; -169.501; 17.6746
3; 14; 86; 0.119056; -0.0739297; 1.60306; 14.3169; -170.84; 17.4208
3; 15; 70; 0.158545; -0.265399; 1.64456; -23.2236; -176.261; 15.871
3; 16; 79; 0.102148; -0.0440419; 1.5676; 20.8094; -171.341; 18.0881
3; 17; 76; 0.110072; -0.04126; 1.56869; 20.8797; -169.791; 17.78
3; 18; 72; 0.0941808; -0.0533038; 1.58874; 19.9915; -174.035; 18.1248
3; 19; 82; 0.101194; -0.0339888; 1.55349; 22.5543; -170.894; 17.8168
3; 20; 87; 0.111083; -0.0448758; 1.56837; 20.0196; -169.85; 17.6556
3; Median: 82; 0.109091; -0.0446165; 1.56837; 17.995; -170.802; 20.2524
3; Mean: 80.9; 0.111436; -0.0744309; 1.57084; 17.7038; -153.695; 14.2978
3; Range: 21; 0.0643643; 0.336477; 0.133121; 5.07492; 346.491; 66.8056
3; Stdev: 6.41794; 0.0139775; 0.083573; 0.0238477; 1.02308; 74.3366; 16.5729
4; 1; 38; 0.15579; -0.131227; 1.58741; 21.7772; -165.578; 16.8024
4; 2; 27; 0.129778; -0.150868; 1.6314; 21.3018; -172.337; 19.2429
4; 3; 22; 0.128058; -0.141067; 1.61015; 22.785; -171.322; 18.0452
4; 4; 26; 0.143216; -0.164294; 1.61019; 17.7953; -169.995; 18.0423
4; 5; 25; 0.201933; -0.45975; 1.11735; -70.0449; -179.608; 25.4818
4; 6; 29; 0.126944; -0.139116; 1.61995; 24.592; -171.716; 18.6564
4; 7; 35; 0.13679; -0.144202; 1.63225; 22.9375; -170.29; 18.9602
4; 8; 35; 0.201609; -0.125866; 1.60614; 20.0899; -158.558; 14.2201
4; 9; 35; 0.151063; -0.161708; 1.59334; 14.4972; -168.193; 18.5076
4; 10; 37; 0.0908015; -0.445008; 1.77362; -27.4605; 165.42; 13.7999
4; 11; 29; 0.110618; -0.137208; 1.61428; 26.1114; -175.382; 17.8488
4; 12; 31; 0.127649; -0.0411377; 1.3587; 31.1018; -151.102; 24.319
4; 13; 30; 0.128041; -0.156888; 1.60154; 18.2815; -172.776; 17.9266
4; 14; 29; 0.133901; -0.147665; 1.62006; 22.3932; -170.632; 19.4605
4; 15; 28; 0.172688; -0.139941; 1.60625; 18.9867; -161.051; 20.9218
4; 16; 36; 0.129358; -0.143248; 1.60357; 21.551; -171.399; 18.3799
4; 17; 27; 0.112083; -0.151565; 1.58406; 20.1345; -176.781; 16.9868
4; 18; 36; 0.129805; -0.140555; 1.61214; 22.2637; -170.782; 15.6378
4; 19; 28; 0.145262; -0.149564; 1.57725; 15.6601; -168.566; 19.1666
4; 20; 30; 0.082692; -0.497476; 1.56676; -47.2608; 159.35; 9.95592
4; Median: 30; 0.129805; -0.144202; 1.60625; 18.3799; -170.29; 21.3018
4; Mean: 30.65; 0.136904; -0.188418; 1.57632; 18.1181; -136.065; 10.8747
4; Range: 16; 0.119241; 0.456339; 0.656274; 15.5259; 345.029; 101.147
4; Stdev: 4.39631; 0.0293625; 0.120002; 0.125632; 3.2838; 99.6814; 25.9743
5; 1; 28; 0.164935; -0.218072; 1.60407; 23.5539; -166.083; 17.8056
5; 2; 20; 0.171242; -0.588424; 1.35841; -65.2461; 174.847; 11.1332
5; 3; 25; 0.174444; -0.570964; 1.53966; -51.7008; 177.659; 10.3931
5; 4; 14; 0; 0; 0; 0; -0; 0
5; 5; 25; 0.255454; -0.598192; 1.67955; -49.6658; -174.564; 16.7022
5; 6; 21; 0.220643; -0.555513; 1.10286; -75.5311; -171.464; 26.2364
5; 7; 19; 0.17274; -0.224378; 1.60273; 20.4829; -165.587; 20.9635
5; 8; 25; 0.237438; -0.623516; 1.71678; -52.0442; -179.208; 13.1591
5; 9; 21; 0.212604; -0.212551; 1.5784; 16.9152; -152.981; 24.8989
5; 10; 15; 0.157029; -0.204998; 1.59891; 29.0167; -168.688; 14.6958
5; 11; 26; 0.184577; -0.431027; 1.83197; -8.29495; 177.468; 13.8791
5; 12; 27; 0.126362; -0.664004; 1.56272; -64.2421; 159.707; 5.54381
5; 13; 21; -0.115391; -0.646643; 1.47218; 98.5675; 69.3418; 152.031
5; 14; 22; 0.159727; -0.208447; 1.60446; 28.0622; -167.057; 16.7316
5; 15; 24; 0.109972; -0.62772; 1.52949; -59.1176; 158.662; 6.42345
5; 16; 28; 0.174988; -0.694403; 1.43623; -81.7746; 175.904; 4.18861
5; 17; 25; 0.245524; -0.557047; 1.83145; -33.5128; -177.11; 14.7276
5; 18; 20; 0.011739; -0.254182; 1.57823; 22.6531; 162.193; 11.6309
5; 19; 27; 0.161585; -0.228572; 1.58025; 19.6883; -167.822; 19.6512
5; 20; 22; 0.232311; -0.3109; 1.73964; 5.54412; -164.165; 16.8664
5; Median: 24; 0.17274; -0.431027; 1.58025; 14.7276; -152.981; 0
5; Mean: 22.75; 0.152896; -0.420978; 1.4974; 20.8831; -29.9475; -13.8323
5; Range: 14; 0.370846; 0.694403; 1.83197; 152.031; 356.867; 180.342
5; Stdev: 3.87137; 0.0898623; 0.206933; 0.377912; 30.7743; 158.377; 46.3797
6; 1; 14; -0.0191874; -0.61886; 0.920583; 65.4985; 52.8651; 151.75
6; 2; 19; 0.365632; -0.101794; 1.03891; -86.5559; -156.573; 139.91
6; 3; 21; 0.112464; -0.261382; 1.58037; 24.0578; -173.216; 17.9509
6; 4; 20; 0; 0; 0; 0; -0; 0
6; 5; 21; 0.0219214; -0.121932; 1.20153; 37.1855; -179.917; 15.8173
6; 6; 17; 0.222702; -0.0407048; 0.91296; -40.5791; -126.654; 87.4021
6; 7; 19; 0.154177; -0.269545; 1.64652; 22.3866; -167.022; 26.8018
6; 8; 20; 0.10532; -0.303549; 1.66424; 20.6885; -177.115; 13.2381
6; 9; 13; 0.126127; -0.292829; 1.62415; 20.3719; -171.619; 17.2512
6; 10; 16; 0.0158653; -0.0378982; 1.01981; 48.0433; -179.826; 11.6923
6; 11; 24; 0.138917; -0.0322398; 1.02644; -124.477; 1.22718; 175.18
6; 12; 21; 0.129918; -0.294187; 1.65372; 22.8801; -170.845; 18.6246
6; 13; 19; 0; 0; 0; 0; -0; 0
6; 14; 17; 0.159865; -0.603037; 1.16708; 8.87659; 63.404; 120.417
6; 15; 16; 0.147787; -0.280553; 1.61867; 22.8562; -166.035; 16.3241
6; 16; 16; 0.00693629; -0.638694; 1.03507; 36.3857; 60.3948; 116.407
6; 17; 17; 0; 0; 0; 0; -0; 0
6; 18; 19; 0.202253; -0.601278; 1.47903; -51.1163; -172.468; 18.5676
6; 19; 16; 0.245032; -0.13922; 1.41191; -124.21; -31.1938; 170.815
6; 20; 19; -0.0102391; -0.683844; 1.22155; 81.1387; 44.7814; 157.87
6; Median: 19; 0.126127; -0.261382; 1.20153; 18.6246; -126.654; 20.6885
6; Mean: 18.2; 0.106275; -0.266077; 1.11113; 63.801; -82.4906; -0.828417
6; Range: 11; 0.384819; 0.683844; 1.66424; 175.18; 243.321; 205.616
6; Stdev: 2.6; 0.101634; 0.234592; 0.533066; 65.0111; 96.9113; 55.4961
7; 1; 5; 0; 0; 0; 0; -0; 0
7; 2; 6; 0; 0; 0; 0; -0; 0
7; 3; 8; 0; 0; 0; 0; -0; 0
7; 4; 10; 0; 0; 0; 0; -0; 0
7; 5; 5; 0; 0; 0; 0; -0; 0
7; 6; 5; 0; 0; 0; 0; -0; 0
7; 7; 3; 0; 0; 0; 0; -0; 0
7; 8; 11; 0; 0; 0; 0; -0; 0
7; 9; 8; 0; 0; 0; 0; -0; 0
7; 10; 7; 0; 0; 0; 0; -0; 0
7; 11; 5; 0; 0; 0; 0; -0; 0
7; 12; 4; 0; 0; 0; 0; -0; 0
7; 13; 8; 0; 0; 0; 0; -0; 0
7; 14; 8; 0; 0; 0; 0; -0; 0
7; 15; 7; 0; 0; 0; 0; -0; 0
7; 16; 5; 0; 0; 0; 0; -0; 0
7; 17; 7; 0; 0; 0; 0; -0; 0
7; 18; 4; 0; 0; 0; 0; -0; 0
7; 19; 7; 0; 0; 0; 0; -0; 0
7; 20; 5; 0; 0; 0; 0; -0; 0
7; Median: 7; 0; 0; 0; 0; -0; 0
7; Mean: 6.4; 0; 0; 0; 0; 0; 0
7; Range: 8; 0; 0; 0; 0; 0; 0
7; Stdev: 2.00998; 0; 0; 0; 0; 0; 0
8; 1; 2; 0; 0; 0; 0; -0; 0
8; 2; 2; 0; 0; 0; 0; -0; 0
8; 3; 4; 0; 0; 0; 0; -0; 0
8; 4; 2; 0; 0; 0; 0; -0; 0
8; 5; 2; 0; 0; 0; 0; -0; 0
8; 6; 2; 0; 0; 0; 0; -0; 0
8; 7; 7; 0; 0; 0; 0; -0; 0
8; 8; 3; 0; 0; 0; 0; -0; 0
8; 9; 2; 0; 0; 0; 0; -0; 0
8; 10; 2; 0; 0; 0; 0; -0; 0
8; 11; 3; 0; 0; 0; 0; -0; 0
8; 12; 4; 0; 0; 0; 0; -0; 0
8; 13; 3; 0; 0; 0; 0; -0; 0
8; 14; 3; 0; 0; 0; 0; -0; 0
8; 15; 3; 0; 0; 0; 0; -0; 0
8; 16; 3; 0; 0; 0; 0; -0; 0
8; 17; 2; 0; 0; 0; 0; -0; 0
8; 18; 1; 0; 0; 0; 0; -0; 0
8; 19; 3; 0; 0; 0; 0; -0; 0
8; 20; 2; 0; 0; 0; 0; -0; 0
8; Median: 3; 0; 0; 0; 0; -0; 0
8; Mean: 2.75; 0; 0; 0; 0; 0; 0
8; Range: 6; 0; 0; 0; 0; 0; 0
8; Stdev: 1.21963; 0; 0; 0; 0; 0; 0
9; 1; 0; 0; 0; 0; 0; -0; 0
9; 2; 3; 0; 0; 0; 0; -0; 0
9; 3; 0; 0; 0; 0; 0; -0; 0
9; 4; 4; 0; 0; 0; 0; -0; 0
9; 5; 4; 0; 0; 0; 0; -0; 0
9; 6; 2; 0; 0; 0; 0; -0; 0
9; 7; 0; 0; 0; 0; 0; -0; 0
9; 8; 0; 0; 0; 0; 0; -0; 0
9; 9; 0; 0; 0; 0; 0; -0; 0
9; 10; 0; 0; 0; 0; 0; -0; 0
9; 11; 0; 0; 0; 0; 0; -0; 0
9; 12; 1; 0; 0; 0; 0; -0; 0
9; 13; 2; 0; 0; 0; 0; -0; 0
9; 14; 1; 0; 0; 0; 0; -0; 0
9; 15; 2; 0; 0; 0; 0; -0; 0
9; 16; 2; 0; 0; 0; 0; -0; 0
9; 17; 3; 0; 0; 0; 0; -0; 0
9; 18; 2; 0; 0; 0; 0; -0; 0
9; 19; 0; 0; 0; 0; 0; -0; 0
9; 20; 3; 0; 0; 0; 0; -0; 0
9; Median: 2; 0; 0; 0; 0; -0; 0
9; Mean: 1.45; 0; 0; 0; 0; 0; 0
9; Range: 4; 0; 0; 0; 0; 0; 0
9; Stdev: 1.39553; 0; 0; 0; 0; 0; 0
10; 1; 2; 0; 0; 0; 0; -0; 0
10; 2; 2; 0; 0; 0; 0; -0; 0
10; 3; 1; 0; 0; 0; 0; -0; 0
10; 4; 0; 0; 0; 0; 0; -0; 0
10; 5; 2; 0; 0; 0; 0; -0; 0
10; 6; 0; 0; 0; 0; 0; -0; 0
10; 7; 1; 0; 0; 0; 0; -0; 0
10; 8; 1; 0; 0; 0; 0; -0; 0
10; 9; 2; 0; 0; 0; 0; -0; 0
10; 10; 0; 0; 0; 0; 0; -0; 0
10; 11; 1; 0; 0; 0; 0; -0; 0
10; 12; 1; 0; 0; 0; 0; -0; 0
10; 13; 0; 0; 0; 0; 0; -0; 0
