Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
14; 15; 36; 0.048885; -0.212734; 1.83402; 67.7608; -161.34; 4.47267
14; 16; 30; 0.0411001; -0.214529; 1.96927; 78.3913; -160.111; 4.04778
14; 17; 32; -0.0260741; -0.106856; 1.67303; -71.6392; 19.9228; 178.686
14; 18; 30; 0.0568812; -0.243869; 1.86539; 59.8847; -159.793; 7.128
14; 19; 35; -0.0917146; -0.147938; 1.93281; 108.78; 142.664; 3.97334
14; 20; 27; 0.0544612; -0.236356; 1.89965; 65.2159; -159.412; 5.94989
14; Median; 32; 0.053876; -0.243869; 1.87135; 7.128; -159.793; 59.8847
14; Mean; 30.9; 0.0383775; -0.231389; 1.86093; 15.8976; -120.952; 57.2318
14; Range; 12; 0.182395; 0.168875; 0.381633; 176.985; 317.945; 180.419
14; Stdev; 2.91376; 0.0456287; 0.0472882; 0.098396; 37.4875; 97.1085; 33.4109
15; 1; 29; 0.0457526; -0.270812; 1.95795; 65.2715; -159.043; 4.34189
15; 2; 31; 0.0453298; -0.308086; 1.96758; 52.3324; -161.258; 9.83936
15; 3; 32; 0.0455364; -0.250668; 2.03459; 80.3431; -149.126; 6.00506
15; 4; 26; 0.049059; -0.261833; 1.99424; 76.0807; -155.135; 1.44736
15; 5; 36; 0.0486769; -0.298632; 1.99261; 56.4677; -158.366; 9.99612
15; 6; 39; 0.0531243; -0.30703; 1.93942; 50.3766; -159.397; 10.8092
15; 7; 31; 0.0656036; -0.243896; 1.95996; 75.2334; -142.174; 8.15744
15; 8; 28; 0.0422439; -0.284543; 1.95669; 59.7946; -159.567; 9.0797
15; 9; 31; 0.0678923; -0.279881; 1.81963; 50.3699; -153.93; 13.9611
15; 10; 23; 0.0422816; -0.236067; 1.89285; 83.41; -153.75; 1.58753
15; 11; 24; 0.0958271; -0.25936; 1.87844; -103.62; -39.7108; 176.111
15; 12; 27; 0.109837; -0.247702; 1.24999; 38.2327; -74.3564; 17.8825
15; 13; 34; 0.0656862; -0.284444; 1.88516; 52.8457; -153.295; 13.1001
15; 14; 28; 0.0393091; -0.273812; 1.94616; 62.9855; -161.842; 6.65377
15; 15; 29; 0.0358145; -0.307778; 1.94577; 51.8971; -165.185; 9.60714
15; 16; 28; 0.0528045; -0.266136; 1.98999; 72.0686; -153.88; 3.90478
15; 17; 29; 0; 0; 0; 0; -0; 0
15; 18; 26; 0.0527836; -0.247009; 1.95782; -92.0217; -21.3612; 172.81
15; 19; 31; -0.0685113; -0.209934; 1.8657; 115.762; 72.7374; 29.1476
15; 20; 35; 0.0543043; -0.297892; 1.93201; 53.3094; -157.481; 10.8041
15; Median; 29; 0.049059; -0.266136; 1.94616; 9.83936; -153.88; 56.4677
15; Mean; 29.85; 0.0471678; -0.256776; 1.80833; 25.7623; -120.306; 45.0569
15; Range; 16; 0.178348; 0.308086; 2.03459; 176.111; 237.923; 219.382
15; Stdev; 3.91504; 0.0342172; 0.0643495; 0.443923; 49.9654; 67.0596; 52.2746
16; 1; 23; -0.0886738; -0.175483; 1.80924; 110.208; 156.223; 4.57685
16; 2; 21; -0.0152498; -0.297422; 2.24499; 82.5615; -153.399; 14.3459
16; 3; 30; 0.00892009; -0.323516; 2.037; 61.6886; -160.579; 7.06845
16; 4; 30; -0.113671; -0.345494; 2.35571; -99.924; 19.9887; 175.853
16; 5; 25; 0; 0; 0; 0; -0; 0
16; 6; 26; 0.00164359; -0.271712; 1.99499; 77.3157; -157.964; 10.9902
16; 7; 20; 0.0148384; -0.339291; 2.00109; 54.0293; -161.209; 9.74078
16; 8; 26; -0.0821197; -0.340972; 2.06493; 60.6348; 168.572; 2.56071
16; 9; 19; 0; 0; 0; 0; -0; 0
16; 10; 31; 0.0193211; -0.359146; 1.98263; 46.1768; -161.196; 10.8305
16; 11; 29; 0.016497; -0.266582; 1.97401; 79.9111; -152.448; 5.97027
16; 12; 28; -0.0930085; -0.193103; 1.84132; 104.224; 153.114; 0.452106
16; 13; 20; -0.136758; -0.356207; 1.82844; -137.849; 23.4464; 178.703
16; 14; 23; 0.112864; -0.247595; 1.07426; 17.8145; -140.187; 20.2705
16; 15; 26; 0.00853586; -0.3798; 2.09209; 49.4138; -161.503; 4.78853
16; 16; 27; 0.00879841; -0.327741; 2.02143; 58.8416; -159.979; 9.75374
16; 17; 21; -0.101538; -0.179447; 1.81849; 109.177; 149.106; 2.84544
16; 18; 25; 0.00390275; -0.33335; 1.96954; 54.5096; -163.837; 9.08959
16; 19; 24; 0.00422168; -0.336516; 2.01575; 56.4231; -163.708; 8.39053
16; 20; 20; 0.00140023; -0.390033; 2.24884; 52.7253; -162.756; 9.70708
16; Median; 25; 0.00164359; -0.323516; 1.99499; 9.08959; -152.448; 56.4231
16; Mean; 24.7; -0.0215038; -0.27317; 1.76874; 24.2969; -61.4158; 41.8941
16; Range; 12; 0.249622; 0.390033; 2.35571; 178.703; 332.409; 248.058
16; Stdev; 3.66197; 0.0591806; 0.109984; 0.639393; 51.2293; 127.466; 61.5154
17; 1; 21; 0.0268207; -0.385209; 2.12645; 60.2181; -163.265; 7.78275
17; 2; 19; 0.0230302; -0.510144; 2.33024; 36.9205; -166.002; 4.70461
17; 3; 22; 0.00776864; -0.380356; 2.03799; 56.6002; -169.574; 6.27767
17; 4; 15; -0.0918458; -0.210144; 1.82159; -70.9125; 44.5617; 177.752
17; 5; 25; 0.0116144; -0.384133; 2.03434; 57.6951; -168.235; 12.4615
17; 6; 16; 0.0360772; -0.38714; 2.13559; 59.9811; -159.081; 8.4034
17; 7; 25; 0.050522; -0.375379; 2.0306; 52.098; -154.699; 15.4241
17; 8; 25; -0.0503329; -0.309209; 2.30522; 117.149; 178.223; 6.04979
17; 9; 21; 0.0365454; -0.392802; 2.09394; 55.0905; -161.974; 8.61486
17; 10; 16; -0.0921626; -0.275767; 2.04665; 101.36; 152.69; 3.88126
17; 11; 19; 0.0893713; -0.258163; 0.869937; 34.7229; -70.9708; 7.5246
17; 12; 19; 0.0593404; -0.388028; 2.0305; 50.6637; -154.587; 10.7031
17; 13; 22; -0.107713; -0.270292; 2.09018; 110.734; 141.271; 4.7956
17; 14; 17; 0.0472488; -0.398924; 2.08064; 49.8357; -157.426; 12.6187
17; 15; 22; 0.0140836; -0.348197; 2.02127; 63.309; -165.584; 4.82282
17; 16; 17; 0; 0; 0; 0; -0; 0
17; 17; 25; 0; 0; 0; 0; -0; 0
17; 18; 17; 0.0525332; -0.312889; 2.07624; -80.8044; -33.2874; 173.606
17; 19; 19; 0; 0; 0; 0; -0; 0
17; 20; 23; 0.0451122; -0.378082; 2.03561; 51.2052; -156.076; 18.1156
17; Median; 21; 0.0230302; -0.348197; 2.03799; 7.78275; -154.587; 52.098
17; Mean; 20.25; 0.00790068; -0.298243; 1.70835; 24.1769; -68.2006; 40.2933
17; Range; 10; 0.197084; 0.510144; 2.33024; 177.752; 347.796; 197.954
17; Stdev; 3.23844; 0.0525288; 0.140407; 0.770776; 50.7252; 117.758; 49.5486
18; 1; 21; 0.0417279; -0.449348; 2.34239; 66.3584; -153.668; 8.33926
18; 2; 20; 0; 0; 0; 0; -0; 0
18; 3; 19; 0; 0; 0; 0; -0; 0
18; 4; 17; 0.0491057; -0.441521; 2.164; 50.0998; -158.275; 12.8333
18; 5; 25; 0.0563763; -0.391221; 2.29225; 75.2631; -144.379; 14.3805
18; 6; 27; 0.0203165; -0.485837; 2.41664; 58.0259; -164.684; 8.07506
18; 7; 16; 0; 0; 0; 0; -0; 0
18; 8; 12; -0.124006; -0.111682; 1.20573; -5.66659; -98.8721; 178.102
18; 9; 25; 0.0537117; -0.378498; 2.11552; 65.3551; -150.845; 16.8211
18; 10; 23; -0.0537194; -0.538198; 2.70452; 63.0942; 171.433; 0.874092
18; 11; 20; -0.076094; -0.36023; 2.29055; 96.8183; 156.659; 1.40543
18; 12; 18; 0; 0; 0; 0; -0; 0
18; 13; 18; 0.0228156; -0.296798; 2.16827; -54.4489; -14.6671; 169.927
18; 14; 24; 0.0221269; -0.388279; 2.17515; 71.4678; -161.663; 7.52279
18; 15; 16; 0.00322936; -0.510208; 2.43557; 52.4298; -170.766; 7.82897
18; 16; 22; 0.0486467; -0.418081; 2.20042; 61.6941; -157.557; 9.03583
18; 17; 21; 0; 0; 0; 0; -0; 0
18; 18; 23; -0.0752969; -0.240901; 1.83045; -83.1092; 42.1177; 171.356
18; 19; 14; 0; 0; 0; 0; -0; 0
18; 20; 26; 0.0707898; -0.64316; 2.79175; -26.9812; -152.645; 62.5092
18; Median; 21; 0.00322936; -0.36023; 2.16827; 8.07506; -14.6671; 50.0998
18; Mean; 20.35; 0.00298651; -0.282698; 1.55666; 33.4505; -57.8906; 24.52
18; Range; 15; 0.194796; 0.64316; 2.79175; 178.102; 342.198; 179.928
18; Stdev; 4.01591; 0.0492807; 0.213117; 1.06399; 60.1991; 105.232; 46.8193
19; 1; 20; 0; 0; 0; 0; -0; 0
19; 2; 21; -0.287217; -0.394695; 2.14031; 159.239; 38.0398; 40.7133
19; 3; 21; 0.0152651; -0.515751; 2.26653; 43.5482; -165.929; 13.4359
19; 4; 20; 0.0770001; -0.343814; 1.84315; 63.6755; -138.689; 16.5393
19; 5; 24; -0.0198887; -0.436321; 2.44766; 26.2148; -99.885; 86.3853
19; 6; 19; 0; 0; 0; 0; -0; 0
19; 7; 19; 0; 0; 0; 0; -0; 0
19; 8; 20; 0; 0; 0; 0; -0; 0
19; 9; 13; -0.00104853; -0.541958; 2.35442; 43.0533; -170.273; 10.2616
19; 10; 26; 0.0399652; -0.453859; 2.13938; 47.8352; -157.342; 18.0488
19; 11; 15; -0.0740283; -0.246742; 1.80203; 111.743; 147.382; 2.27027
19; 12; 12; 0; 0; 0; 0; -0; 0
19; 13; 19; 0; 0; 0; 0; -0; 0
19; 14; 21; 0.00289546; -0.503331; 2.4058; 56.3929; -166.473; 11.6286
19; 15; 21; -0.0880946; -0.377091; 2.24084; -82.8533; 26.3794; 178.053
19; 16; 13; 0.00770516; -0.545036; 2.34598; 42.1364; -168.191; 11.4876
19; 17; 24; 0; 0; 0; 0; -0; 0
19; 18; 17; 0; 0; 0; 0; -0; 0
19; 19; 25; 0; 0; 0; 0; -0; 0
19; 20; 24; 0; 0; 0; 0; -0; 0
19; Median; 20; 0; 0; 1.80203; 2.27027; -0; 0
19; Mean; 19.7; -0.0163723; -0.21793; 1.0993; 19.4412; -42.749; 25.5493
19; Range; 14; 0.364217; 0.545036; 2.44766; 178.053; 317.655; 242.093
19; Stdev; 3.93827; 0.0702129; 0.227342; 1.10944; 41.4857; 87.6954; 48.6768
20; 1; 17; 0; 0; 0; 0; -0; 0
20; 2; 28; 0.107881; -0.454804; 1.94912; 38.0659; -149.644; 19.7944
20; 3; 28; 0; 0; 0; 0; -0; 0
20; 4; 21; 0; 0; 0; 0; -0; 0
20; 5; 23; 0.0664361; -0.559248; 2.37047; 45.6015; -159.721; 16.6359
20; 6; 29; 0; 0; 0; 0; -0; 0
20; 7; 17; 0; 0; 0; 0; -0; 0
20; 8; 26; 0; 0; 0; 0; -0; 0
20; 9; 23; 0; 0; 0; 0; -0; 0
20; 10; 22; 0; 0; 0; 0; -0; 0
20; 11; 28; 0; 0; 0; 0; -0; 0
20; 12; 18; 0; 0; 0; 0; -0; 0
20; 13; 20; 0.132038; -0.362649; 1.41621; 19.6947; -144.375; 30.1112
20; 14; 22; 0; 0; 0; 0; -0; 0
20; 15; 29; 0.0453584; -0.59349; 2.48895; 49.1758; -166.141; 5.73245
20; 16; 26; 0; 0; 0; 0; -0; 0
20; 17; 20; 0.214164; -0.00547617; 0.298858; -41.4234; 73.3337; 118.776
20; 18; 22; -0.0157252; -0.691352; 2.7585; -141.125; 5.5704; 178.423
20; 19; 19; -0.0441003; -0.317847; 1.96306; 112.645; 147.201; 0.429923
20; 20; 21; 0.0665895; -0.54223; 2.38726; 52.1852; -155.374; 13.9164
20; Median; 22; 0; 0; 0; 0; -0; 0
20; Mean; 22.95; 0.0286321; -0.176355; 0.781621; 19.191; -27.4575; 6.74099
20; Range; 12; 0.258264; 0.691352; 2.7585; 178.423; 313.341; 253.769
20; Stdev; 3.91759; 0.0598498; 0.250436; 1.06422; 44.9326; 81.3912; 46.0815
21; 1; 16; 0; 0; 0; 0; -0; 0
21; 2; 22; -0.0845912; -0.350508; 1.96631; 101.037; 136.399; 0.706852
21; 3; 11; -0.057132; -0.431721; 2.25508; -82.7882; 29.2138; 176.494
21; 4; 17; 0; 0; 0; 0; -0; 0
21; 5; 20; -0.137123; -0.637596; 2.83711; -100.458; 47.777; 179.489
21; 6; 14; 0; 0; 0; 0; -0; 0
21; 7; 15; 0; 0; 0; 0; -0; 0
21; 8; 18; 0; 0; 0; 0; -0; 0
21; 9; 22; 0.0624495; -0.603439; 2.46543; 46.9267; -161.368; 14.0897
21; 10; 19; 0; 0; 0; 0; -0; 0
21; 11; 20; 0.0767667; -0.58738; 2.40896; 47.8002; -155.788; 14.4457
21; 12; 14; 0.13411; -0.596751; 2.40939; -1.48609; -153.312; 68.7004
21; 13; 17; 0.105571; -0.490899; 2.02373; 38.3276; -149.717; 22.9714
21; 14; 22; 0.127414; -0.134378; 0.25011; -13.2445; 121.218; 53.0797
21; 15; 20; 0.0165866; -0.586408; 2.34723; -130.095; -3.91519; 178.667
21; 16; 13; 0.0835469; -0.590552; 2.56303; 60.7288; -147.196; 12.5914
21; 17; 18; -0.0720183; -0.506401; 2.42546; -98.8784; 32.1865; 170.431
21; 18; 21; 0; 0; 0; 0; -0; 0
21; 19; 21; 0; 0; 0; 0; -0; 0
21; 20; 18; 0; 0; 0; 0; -0; 0
21; Median; 18; 0; -0.134378; 1.96631; 12.5914; -0; 0
21; Mean; 17.9; 0.012779; -0.275802; 1.19759; 44.5833; -20.2251; -6.60648
21; Range; 11; 0.271233; 0.637596; 2.83711; 179.489; 297.767; 231.132
21; Stdev; 3.1607; 0.0683946; 0.270907; 1.1858; 68.2689; 85.7906; 56.0377
22; 1; 17; 0; 0; 0; 0; -0; 0
22; 2; 17; 0; 0; 0; 0; -0; 0
22; 3; 16; 0; 0; 0; 0; -0; 0
22; 4; 16; 0.0939091; -0.644008; 2.55938; 58.2699; -164.331; 7.94242
22; 5; 17; 0; 0; 0; 0; -0; 0
22; 6; 22; 0; 0; 0; 0; -0; 0
22; 7; 20; 0.0136297; -0.288404; 0.194334; -78.7813; 109.674; 20.7327
22; 8; 15; 0; 0; 0; 0; -0; 0
22; 9; 18; 0; 0; 0; 0; -0; 0
22; 10; 20; 0.1403; -0.1662; 0.405711; -95.6392; -121.18; 69.9237
22; 11; 21; 0; 0; 0; 0; -0; 0
22; 12; 15; 0; 0; 0; 0; -0; 0
22; 13; 16; 0.237996; -0.477599; 1.96741; -86.0792; -145.06; 81.8589
22; 14; 19; 0; 0; 0; 0; -0; 0
22; 15; 17; 0; 0; 0; 0; -0; 0
22; 16; 17; 0; 0; 0; 0; -0; 0
22; 17; 19; 0; 0; 0; 0; -0; 0
22; 18; 17; 0; 0; 0; 0; -0; 0
22; 19; 23; 0; 0; 0; 0; -0; 0
22; 20; 9; 0; 0; 0; 0; -0; 0
22; Median; 17; 0; 0; 0; 0; -0; 0
22; Mean; 17.55; 0.0242917; -0.0788106; 0.256342; 9.02289; -16.0449; -10.1115
22; Range; 14; 0.237996; 0.644008; 2.55938; 81.8589; 274.005; 153.909
22; Stdev; 2.94066; 0.0606338; 0.177401; 0.682249; 22.8636; 58.9963; 34.7228
23; 1; 22; 0; 0; 0; 0; -0; 0
23; 2; 18; 0; 0; 0; 0; -0; 0
23; 3; 18; 0; 0; 0; 0; -0; 0
23; 4; 23; 0; 0; 0; 0; -0; 0
23; 5; 20; 0; 0; 0; 0; -0; 0
23; 6; 24; 0; 0; 0; 0; -0; 0
23; 7; 27; 0; 0; 0; 0; -0; 0
23; 8; 13; 0; 0; 0; 0; -0; 0
23; 9; 19; 0; 0; 0; 0; -0; 0
23; 10; 22; 0; 0; 0; 0; -0; 0
23; 11; 16; 0; 0; 0; 0; -0; 0
23; 12; 20; 0; 0; 0; 0; -0; 0
23; 13; 23; 0; 0; 0; 0; -0; 0
23; 14; 26; 0; 0; 0; 0; -0; 0
23; 15; 24; 0; 0; 0; 0; -0; 0
23; 16; 26; 0; 0; 0; 0; -0; 0
23; 17; 23; 0; 0; 0; 0; -0; 0
23; 18; 20; 0; 0; 0; 0; -0; 0
23; 19; 27; 0; 0; 0; 0; -0; 0
23; 20; 18; 0; 0; 0; 0; -0; 0
23; Median; 22; 0; 0; 0; 0; -0; 0
23; Mean; 21.45; 0; 0; 0; 0; 0; 0
23; Range; 14; 0; 0; 0; 0; 0; 0
23; Stdev; 3.69425; 0; 0; 0; 0; 0; 0
24; 1; 22; 0; 0; 0; 0; -0; 0
24; 2; 22; 0; 0; 0; 0; -0; 0
24; 3; 26; 0; 0; 0; 0; -0; 0
24; 4; 22; 0; 0; 0; 0; -0; 0
24; 5; 19; 0; 0; 0; 0; -0; 0
24; 6; 21; 0; 0; 0; 0; -0; 0
24; 7; 21; 0; 0; 0; 0; -0; 0
24; 8; 25; 0; 0; 0; 0; -0; 0
24; 9; 33; 0; 0; 0; 0; -0; 0
24; 10; 25; 0; 0; 0; 0; -0; 0
24; 11; 28; 0; 0; 0; 0; -0; 0
24; 12; 35; 0; 0; 0; 0; -0; 0
24; 13; 32; 0; 0; 0; 0; -0; 0
24; 14; 28; 0; 0; 0; 0; -0; 0
24; 15; 27; 0; 0; 0; 0; -0; 0
24; 16; 32; 0; 0; 0; 0; -0; 0
24; 17; 24; 0; 0; 0; 0; -0; 0
24; 18; 21; 0; 0; 0; 0; -0; 0
24; 19; 24; 0; 0; 0; 0; -0; 0
24; 20; 21; 0; 0; 0; 0; -0; 0
24; Median; 25; 0; 0; 0; 0; -0; 0
24; Mean; 25.4; 0; 0; 0; 0; 0; 0
24; Range; 16; 0; 0; 0; 0; 0; 0
24; Stdev; 4.53211; 0; 0; 0; 0; 0; 0
25; 1; 24; 0; 0; 0; 0; -0; 0
25; 2; 17; 0; 0; 0; 0; -0; 0
25; 3; 24; -0.0159655; -0.287278; 0.248409; -101.429; -154.518; 19.0002
25; 4; 31; 0; 0; 0; 0; -0; 0
25; 5; 31; 0; 0; 0; 0; -0; 0
25; 6; 24; 0; 0; 0; 0; -0; 0
25; 7; 22; 0; 0; 0; 0; -0; 0
25; 8; 24; 0; 0; 0; 0; -0; 0
25; 9; 29; 0; 0; 0; 0; -0; 0
25; 10; 26; 0; 0; 0; 0; -0; 0
25; 11; 28; 0; 0; 0; 0; -0; 0
25; 12; 20; 0; 0; 0; 0; -0; 0
25; 13; 29; 0; 0; 0; 0; -0; 0
25; 14; 24; 0; 0; 0; 0; -0; 0
25; 15; 23; 0; 0; 0; 0; -0; 0
25; 16; 25; 0; 0; 0; 0; -0; 0
25; 17; 22; 0; 0; 0; 0; -0; 0
25; 18; 22; 0; 0; 0; 0; -0; 0
25; 19; 26; 0; 0; 0; 0; -0; 0
25; 20; 21; 0; 0; 0; 0; -0; 0
25; Median; 24; 0; 0; 0; 0; -0; 0
25; Mean; 24.6; -0.000798274; -0.0143639; 0.0124205; 0.950008; -7.72591; -5.07147
25; Range; 14; 0.0159655; 0.287278; 0.248409; 19.0002; 154.518; 101.429
25; Stdev; 3.55528; 0.0034796; 0.0626108; 0.0541395; 4.14099; 33.6765; 22.106
26; 1; 31; 0; 0; 0; 0; -0; 0
26; 2; 22; 0; 0; 0; 0; -0; 0
26; 3; 23; 0; 0; 0; 0; -0; 0
26; 4; 26; 0; 0; 0; 0; -0; 0
26; 5; 23; 0; 0; 0; 0; -0; 0
26; 6; 24; 0; 0; 0; 0; -0; 0
26; 7; 29; 0; 0; 0; 0; -0; 0
26; 8; 21; 0; 0; 0; 0; -0; 0
26; 9; 19; 0; 0; 0; 0; -0; 0
26; 10; 26; 0; 0; 0; 0; -0; 0
26; 11; 26; 0; 0; 0; 0; -0; 0
26; 12; 22; 0; 0; 0; 0; -0; 0
26; 13; 15; 0; 0; 0; 0; -0; 0
26; 14; 30; 0; 0; 0; 0; -0; 0
26; 15; 33; 0; 0; 0; 0; -0; 0
26; 16; 23; 0; 0; 0; 0; -0; 0
26; 17; 23; 0; 0; 0; 0; -0; 0
26; 18; 32; 0; 0; 0; 0; -0; 0
26; 19; 28; 0; 0; 0; 0; -0; 0
26; 20; 21; 0; 0; 0; 0; -0; 0
26; Median; 24; 0; 0; 0; 0; -0; 0
26; Mean; 24.85; 0; 0; 0; 0; 0; 0
26; Range; 18; 0; 0; 0; 0; 0; 0
26; Stdev; 4.4975; 0; 0; 0; 0; 0; 0
27; 1; 29; 0; 0; 0; 0; -0; 0
27; 2; 22; 0; 0; 0; 0; -0; 0
27; 3; 26; 0; 0; 0; 0; -0; 0
27; 4; 30; 0; 0; 0; 0; -0; 0
27; 5; 29; 0; 0; 0; 0; -0; 0
27; 6; 30; 0; 0; 0; 0; -0; 0
27; 7; 29; 0; 0; 0; 0; -0; 0
27; 8; 21; 0; 0; 0; 0; -0; 0
27; 9; 30; 0; 0; 0; 0; -0; 0
27; 10; 27; 0; 0; 0; 0; -0; 0
27; 11; 23; 0; 0; 0; 0; -0; 0
27; 12; 28; 0; 0; 0; 0; -0; 0
27; 13; 24; 0; 0; 0; 0; -0; 0
27; 14; 26; 0; 0; 0; 0; -0; 0
27; 15; 24; 0; 0; 0; 0; -0; 0
27; 16; 27; 0; 0; 0; 0; -0; 0
27; 17; 26; 0.38063; 0.13061; 0.217812; -33.9644; 59.1644; 155.205
27; 18; 24; 0; 0; 0; 0; -0; 0
27; 19; 28; 0; 0; 0; 0; -0; 0
27; 20; 16; 0; 0; 0; 0; -0; 0
27; Median; 27; 0; 0; 0; 0; -0; 0
27; Mean; 25.95; 0.0190315; 0.0065305; 0.0108906; 7.76023; 2.95822; -1.69822
27; Range; 14; 0.38063; 0.13061; 0.217812; 155.205; 59.1644; 33.9644
27; Stdev; 3.5139; 0.0829564; 0.0284658; 0.0474711; 33.8261; 12.8946; 7.40238
