Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
5; 4; 72; 0.0965333; 0.25986; 0.673881; -63.8324; -49.2758; 172.508
5; 5; 70; 0; 0; 0; 0; -0; 0
5; 6; 78; 0.0246429; 0.292753; 0.570205; 170.713; 141.247; 23.9457
5; 7; 74; 0.0647362; 0.198159; 1.09819; 58.4767; -163.135; 6.8364
5; 8; 61; 0.11299; 0.20041; 0.969529; 65.8613; -145.552; 2.62423
5; 9; 60; 0; 0; 0; 0; -0; 0
5; 10; 64; 0; 0; 0; 0; -0; 0
5; 11; 67; 0; 0; 0; 0; -0; 0
5; 12; 65; 0.098056; 0.188055; 1.03034; 59.1618; -152.436; 2.55021
5; 13; 77; -0.141187; 0.0947665; 0.730901; 111.235; 43.6399; 45.9908
5; 14; 74; -0.0257217; 0.348913; 0.898098; 144.057; 167.485; 14.0512
5; 15; 75; 0; 0; 0; 0; -0; 0
5; 16; 70; -0.0330075; 0.337012; 0.860089; 141.087; 163.227; 14.4354
5; 17; 63; 0.00878327; 0.185765; 1.06824; 59.022; 179.499; 5.67807
5; 18; 51; 0; 0; 0; 0; -0; 0
5; 19; 72; 0.0355186; 0.178127; 1.09314; 54.102; -172.733; 7.85032
5; 20; 74; 0.0869264; 0.167257; 1.05833; 50.2154; -157.195; 9.5524
5; Median; 70; 0; 0.167257; 0.673881; 5.67807; -0; 54.102
5; Mean; 68.3; 0.00805387; 0.126892; 0.528594; 19.7808; -5.93255; 51.3382
5; Range; 27; 0.280183; 0.348913; 1.09819; 172.508; 352.231; 240.498
5; Stdev; 6.86367; 0.0684597; 0.120837; 0.458624; 40.8045; 108.808; 65.1677
6; 1; 69; 0.0509235; 0.137647; 1.12207; 57.0704; -160.75; 9.63061
6; 2; 80; 0.0297033; 0.136214; 1.15375; 55.1765; -168.129; 6.95056
6; 3; 69; 0.0624107; 0.148; 1.15302; 59.1895; -156.872; 5.69716
6; 4; 76; 0.0475887; 0.156667; 1.12742; 63.2203; -160.767; 5.76882
6; 5; 63; 0.0481635; 0.165161; 1.18369; 63.5934; -161.352; 6.50787
6; 6; 70; 0.0521514; 0.172506; 1.16692; 66.6596; -159.94; 3.94725
6; 7; 66; 0.051438; 0.182032; 1.20518; 67.7874; -160.427; 5.14165
6; 8; 66; -0.0486498; 0.297805; 1.01446; 133.142; 166.899; 11.3125
6; 9; 70; -0.122505; 0.164133; 1.11392; 69.1968; 148.448; 7.08081
6; 10; 72; 0.0388717; 0.135468; 1.17398; 55.1376; -165.766; 9.40384
6; 11; 86; -0.0614827; 0.233491; 1.30566; 86.5179; 162.105; 7.82146
6; 12; 79; 0.0545626; 0.0578824; 1.05927; -162.011; 45.754; 109.851
