Linear Detection Measurement - Goesser_55_126_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
1; 1; 74; 0.356714; -0.0496359; 1.18622; 29.0375; -164.226; 18.3657
1; 2; 71; 0.352221; -0.0575115; 1.16758; 29.1296; -161.335; 16.3464
1; 3; 69; 0.356103; -0.0489455; 1.18671; 29.9783; -163.451; 18.2667
1; 4; 63; 0.356023; -0.0551219; 1.20928; 32.0888; -169.211; 16.0441
1; 5; 65; 0.355083; -0.0493594; 1.18666; 32.3212; -165.868; 17.5569
1; 6; 77; 0.356296; -0.0510325; 1.18664; 35.9228; -165.528; 16.2768
1; 7; 71; 0.354742; -0.0505383; 1.17539; 29.8586; -162.222; 17.6223
1; 8; 71; 0.352799; -0.052546; 1.16305; 28.7751; -162.842; 17.5415
1; 9; 75; 0.354997; -0.0498268; 1.18861; 29.5642; -163.099; 17.1268
1; 10; 80; 0.356825; -0.053372; 1.18443; 30.7959; -166.262; 16.7603
1; 11; 64; 0.351222; -0.0501226; 1.18996; 31.4672; -163.975; 16.5126
1; 12; 79; 0.354123; -0.052951; 1.18; 29.2985; -164.407; 16.9445
1; 13; 75; 0.357837; -0.0501958; 1.194; 31.5484; -167.689; 17.4132
1; 14; 72; 0.352694; -0.0501474; 1.16928; 29.5817; -162.016; 17.4793
1; 15; 74; 0.352666; -0.050505; 1.17258; 31.4817; -161.672; 16.5025
1; 16; 69; 0.356941; -0.0520626; 1.18559; 30.4855; -165.433; 16.8333
1; 17; 77; 0.356401; -0.0517147; 1.18698; 33.9174; -165.888; 16.0658
1; 18; 72; 0.352949; -0.0575553; 1.19787; 34.3891; -160.052; 15.9096
1; 19; 64; 0.356895; -0.051667; 1.18782; 30.4425; -165.744; 16.9787
1; 20; 73; 0.360113; -0.0516107; 1.205; 33.8006; -164.189; 17.1077
1; Median: 72; 0.356023; -0.0510325; 1.18666; 16.9787; -164.189; 30.7959
1; Mean: 71.75; 0.355182; -0.0518211; 1.18518; 16.9827; -164.256; 31.1942
1; Range: 17; 0.00889036; 0.00860978; 0.0462294; 2.45608; 9.15915; 7.14767
1; Stdev: 4.83606; 0.0021876; 0.00240739; 0.0114009; 0.684899; 2.20196; 1.96512
2; 1; 71; 0.355263; -0.0524492; 1.19619; 30.4382; -168.207; 17.0751
2; 2; 70; 0.351287; -0.0551844; 1.15536; 30.5747; -163.413; 16.7465
2; 3; 72; 0.355471; -0.0510296; 1.18097; 30.0782; -162.812; 17.5172
2; 4; 72; 0.353325; -0.0528866; 1.17793; 30.4632; -163.622; 16.4713
2; 5; 69; 0.354425; -0.0537854; 1.18597; 28.6822; -163.835; 17.3673
2; 6; 72; 0.360661; -0.0516227; 1.23644; 27.5034; -167.13; 17.9453
2; 7; 72; 0.356704; -0.0531268; 1.16519; 30.5744; -164.023; 16.9973
2; 8; 68; 0.356908; -0.051404; 1.18838; 33.208; -164.46; 16.9096
2; 9; 79; 0.352713; -0.051735; 1.16984; 30.3056; -161.119; 16.8008
2; 10; 74; 0.35132; -0.0508697; 1.16524; 28.8547; -161.435; 17.4212
2; 11; 73; 0.353274; -0.04959; 1.17535; 31.5092; -162.985; 17.686
2; 12; 65; 0.357566; -0.0515122; 1.20267; 30.389; -164.679; 16.7267
2; 13; 83; 0.352403; -0.0510664; 1.19009; 30.598; -162.021; 16.6132
2; 14; 61; 0.354734; -0.0587517; 1.16136; 28.9594; -165.727; 16.7837
2; 15; 63; 0.357645; -0.0470883; 1.21393; 33.3414; -168.901; 17.4874
2; 16; 56; 0.354789; -0.0611149; 1.20641; 23.0634; -164.07; 16.7607
2; 17; 62; 0.354523; -0.0502636; 1.16233; 28.5586; -162.805; 18.152
2; 18; 74; 0.355848; -0.0476355; 1.18536; 33.5853; -162.857; 17.7658
2; 19; 61; 0.354206; -0.0495688; 1.16978; 28.9161; -162.547; 18.0744
2; 20; 74; 0.341682; -0.0471281; 1.10627; 35.8623; -160.058; 17.0297
2; Median: 72; 0.354734; -0.051404; 1.18097; 17.0751; -163.413; 30.4382
2; Mean: 69.55; 0.354237; -0.0518906; 1.17975; 17.2166; -163.835; 30.2733
2; Range: 27; 0.0189792; 0.0140266; 0.130165; 1.68071; 8.84268; 12.7988
2; Stdev: 6.40683; 0.00364219; 0.00338786; 0.0259026; 0.501897; 2.19961; 2.57749
3; 1; 109; 0.372812; -0.115271; 1.20711; 30.1232; -163.041; 18.1734
3; 2; 107; 0.377813; -0.113811; 1.21715; 29.6024; -161.466; 18.3063
3; 3; 96; 0.373471; -0.115907; 1.2073; 30.2016; -162.064; 17.7432
3; 4; 109; 0.378527; -0.117414; 1.23414; 28.1465; -163.147; 18.4461
3; 5; 103; 0.373764; -0.117183; 1.21094; 29.5914; -161.152; 17.5795
3; 6; 100; 0.374334; -0.116636; 1.21365; 28.9123; -162.163; 17.8898
3; 7; 109; 0.381482; -0.118834; 1.25874; 31.5733; -166.166; 17.5432
3; 8; 102; 0.374043; -0.117966; 1.21467; 29.1829; -162.446; 17.5829
3; 9; 103; 0.373039; -0.12152; 1.20931; 28.4651; -159.977; 17.2374
3; 10; 96; 0.378688; -0.119706; 1.24003; 31.8177; -164.303; 16.977
3; 11; 107; 0.374166; -0.117035; 1.2099; 29.3285; -161.831; 17.7405
3; 12; 110; 0.380034; -0.117875; 1.23713; 30.6462; -166.126; 17.1928
3; 13; 110; 0.371456; -0.117661; 1.21912; 30.1776; -164.634; 17.3815
3; 14; 103; 0.372664; -0.115454; 1.20756; 31.9325; -168.428; 17.5002
3; 15; 100; 0.38021; -0.117777; 1.24103; 30.511; -167.233; 17.3275
3; 16; 117; 0.375026; -0.117177; 1.22135; 29.4423; -162.202; 18.0495
3; 17; 99; 0.374788; -0.117833; 1.22122; 30.9243; -166.729; 17.1283
3; 18; 107; 0.369725; -0.123994; 1.24468; 29.2259; -164.685; 16.6648
3; 19; 109; 0.379141; -0.109907; 1.19562; 28.665; -160.715; 19.4227
3; 20; 104; 0.378432; -0.11824; 1.23553; 29.4868; -167.243; 17.3925
3; Median: 107; 0.374788; -0.117414; 1.21912; 17.5795; -163.041; 29.6024
3; Mean: 105; 0.375681; -0.11736; 1.22231; 17.6639; -163.788; 29.8978
3; Range: 21; 0.0117566; 0.0140874; 0.0631186; 2.75787; 8.45044; 3.786
3; Stdev: 5.19615; 0.00322929; 0.00273715; 0.0158704; 0.594629; 2.42827; 1.05591
4; 1; 84; 0.38171; -0.212005; 1.28396; 27.6228; -163.231; 17.6867
4; 2; 115; 0.384575; -0.213038; 1.32131; 27.1945; -166.416; 18.137
4; 3; 103; 0.380391; -0.212847; 1.27025; 28.9621; -162.333; 16.7618
4; 4; 105; 0.380599; -0.211938; 1.27202; 28.9541; -162.55; 17.0688
4; 5; 104; 0.379766; -0.211434; 1.26448; 27.93; -161.433; 17.2676
4; 6; 105; 0.379813; -0.209034; 1.2466; 28.4814; -160.883; 17.3926
4; 7; 84; 0.38089; -0.211721; 1.27035; 29.4437; -162.45; 16.9083
4; 8; 95; 0.380296; -0.207423; 1.25331; 32.2104; -159.971; 16.461
4; 9; 93; 0.381575; -0.210701; 1.27645; 27.6341; -162.495; 17.9314
4; 10; 108; 0.380686; -0.213042; 1.27281; 29.1902; -162.621; 16.7934
4; 11; 96; 0.386093; -0.220331; 1.28986; 23.1585; -165.295; 16.2403
4; 12; 98; 0.380401; -0.21338; 1.27722; 28.3654; -162.876; 17.1159
4; 13; 97; 0.380705; -0.212095; 1.27537; 29.0464; -162.719; 16.9974
4; 14; 91; 0.380728; -0.211356; 1.2699; 29.5078; -162.296; 16.9013
4; 15; 92; 0.380338; -0.212455; 1.27286; 29.1411; -162.602; 16.8347
4; 16; 104; 0.378714; -0.21564; 1.27236; 28.4332; -162.509; 16.3674
4; 17; 110; 0.378038; -0.212108; 1.24263; 29.3684; -160.855; 16.3934
4; 18; 102; 0.380421; -0.211543; 1.26948; 29.5943; -162.405; 16.8172
4; 19; 90; 0.381047; -0.211965; 1.26726; 27.9748; -162.26; 17.3254
4; 20; 93; 0.379909; -0.214398; 1.27368; 28.8607; -162.962; 16.6439
4; Median: 98; 0.380599; -0.212005; 1.27236; 16.9083; -162.495; 28.9541
4; Mean: 98.45; 0.380835; -0.212423; 1.27211; 17.0023; -162.558; 28.5537
4; Range: 31; 0.00805491; 0.0129081; 0.0786784; 1.89673; 6.4448; 9.0519
4; Stdev: 8.20046; 0.00172571; 0.00247291; 0.0156663; 0.496114; 1.36089; 1.60751
5; 1; 37; 0.425904; -0.290891; 1.50094; 17.2856; -174.771; 26.8827
5; 2; 33; 0.415649; -0.31425; 1.3182; -56.0327; 158.93; 7.21367
5; 3; 39; 0.423164; -0.315563; 1.32969; 26.4034; -160.761; 18.0048
5; 4; 42; 0.415261; -0.309034; 1.29119; 24.2017; -159.378; 18.0971
5; 5; 41; 0.421358; -0.312252; 1.31533; 30.4023; -164.584; 16.1109
5; 6; 39; 0.423857; -0.317396; 1.34175; 27.335; -162.186; 17.5961
5; 7; 39; 0.427421; -0.321919; 1.36444; 35.5009; -177.078; 12.4706
5; 8; 39; 0.430536; -0.317055; 1.3602; -68.6198; -179.879; 12.9462
5; 9; 28; 0.41824; -0.304397; 1.29569; 30.1172; -160.906; 17.9318
5; 10; 35; 0.419483; -0.308903; 1.32428; 30.2635; -162.261; 17.3349
5; 11; 36; 0.414569; -0.307645; 1.28654; 21.4781; -158.371; 19.4721
5; 12; 31; 0.422884; -0.31373; 1.32714; 27.8319; -163.107; 17.7909
5; 13; 39; 0.423409; -0.319954; 1.35617; 29.1175; -168.402; 16.224
5; 14; 36; 0.416935; -0.305363; 1.30402; 21.866; -161.371; 19.4595
5; 15; 45; 0.408843; -0.295624; 1.19517; 28.55; -157.84; 16.3137
5; 16; 39; 0.419001; -0.321798; 1.34545; 28.1179; -168.394; 15.6566
5; 17; 35; 0.414864; -0.284373; 1.25905; 25.7877; -162.579; 20.1286
5; 18; 38; 0.425226; -0.311827; 1.33266; 27.0235; -161.64; 18.9674
5; 19; 31; 0.426327; -0.319395; 1.34451; 27.6167; -165.661; 16.748
5; 20; 35; 0.41823; -0.317948; 1.32253; 24.6566; -166.561; 16.8787
5; Median: 38; 0.421358; -0.312252; 1.32714; 17.5961; -162.261; 27.335
5; Mean: 36.85; 0.420558; -0.310466; 1.32575; 17.1114; -148.84; 17.9451
5; Range: 17; 0.0216928; 0.0375451; 0.30577; 19.669; 338.809; 104.121
5; Stdev: 3.95316; 0.0052313; 0.00998085; 0.0552936; 3.63235; 70.8546; 27.0903
6; 1; 30; 0.434919; -0.367507; 1.36369; 25.5606; -160.934; 19.6978
6; 2; 35; 0.431853; -0.371325; 1.33082; 24.6178; -164.028; 17.973
6; 3; 31; 0.438212; -0.368373; 1.35317; 24.143; -162.929; 20.0964
6; 4; 36; 0.425708; -0.359673; 1.3271; 20.4139; -162.586; 19.7032
6; 5; 36; 0.435581; -0.367618; 1.34307; 32.1782; -155.275; 17.4979
6; 6; 32; 0.437062; -0.352739; 1.34627; 28.5382; -165.339; 19.72
6; 7; 43; 0.441118; -0.366675; 1.36994; 34.8846; -164.989; 17.3205
6; 8; 38; 0.436403; -0.367295; 1.34726; -50.2236; -179.796; 14.1899
6; 9; 36; 0.436989; -0.376319; 1.37558; -66.24; 162.831; 6.15971
6; 10; 39; 0.440642; -0.362985; 1.35597; 33.7711; -164.664; 17.9072
6; 11; 37; 0.435105; -0.370287; 1.34012; 27.4391; -161.67; 18.9728
6; 12; 35; 0.436134; -0.353873; 1.34535; 30.073; -164.151; 19.8215
